datum,datum_iso,popis
17.11.2017,2017-11-17,spolupráce s iniciativou Prázdné pozemky
10.11.2017,2017-11-10,2000 domů v databázi
16.10.2017,2017-10-16,adopce hrobu Čeňka Vosmíka
11.10.2017,2017-10-11,spolupráce s festivalem 4+4 dny v pohybu
06.10.2017,2017-10-06,"otevřeno PKC, debata v CAMPu, workshop na téma využití prázdných domů"
29.09.2017,2017-09-29,účastníme se PechaKucha ve Strakonicích
05.09.2017,2017-09-05,2000 obrázků v databázi
17.08.2017,2017-08-17,1000 obrázků v databázi
31.07.2017,2017-07-31,dar kostelu sv. Víta v Zahrádce u Ledče
27.07.2017,2017-07-27,20000 fanoušků na hlavní facebookové stránce
18.07.2017,2017-07-18,v rámci vycházky poprvé otevíráme celý prázdný dům
13.07.2017,2017-07-13,1000 členů ve facebookové skupině Prázdnédomy.cz - Debatní studna
13.06.2017,2017-06-13,Mazutka žije - sousedská slavnost
08.05.2017,2017-05-08,pomáháme s brigádou ve Vrbicích
31.04.2017,31.04.2017,vycházka se studenty účastnících se programu Divná místa
30.04.2017,2017-04-30,Prázdné domy adoptují okno opravovaného kostela ve Vrbicích
22.04.2017,2017-04-22,účast v panelu konference Apriles
20.04.2017,2017-04-20,organizujeme rozloučení s VN47
01.04.2017,2017-04-01,spolupráce s A489 a Klubem za starou Prahu na akci SOS Transgas
27.03.2017,2017-03-27,"""Ne mluvte s námi"" - účast u kulatých stolů v rámci startování programu City Makers"
17.03.2017,2017-03-17,18000 fanoušků na hlavní facebookové stránce
27.02.2017,2017-02-27,máme přednášku s prezentací v Klubu za starou Prahu
25.02.2017,2017-02-25,účastníme se první PechaKucha tentokrát v Humpolci
21.01.2017,2017-01-21,"vycházka, při které poprvé otevíráme prázdný dům"
14.01.2017,2017-01-14,17000 fanoušků na hlavní facebookové stránce a 1500 objektů v databázi
05.01.2017,2017-01-05,"rekordní příspěvek na hlavní facebookové stránce, 80 tis. shlédnutí"
27.11.2016,2016-11-27,zakládáme Instagram účet
25.11.2016,2016-11-25,zakládáme YouTube kanál
17.11.2016,2016-11-17,přednáška na Gymnáziu Jana Keplera
24.10.2016,2016-10-24,zapsán spolek Prázdné domy z.s.
26.08.2016,2016-08-26,první vycházka po prázdných domech
25.08.2016,2016-08-25,15000 fanoušků na hlavní facebookové stránce
20.08.2016,2016-08-20,"na webu se poprvé objevuje ""dopis pro sousedy"""
10.07.2016,2016-07-10,pořádáme první spanilou jízdu
24.05.2016,2016-05-24,první díl seriálu s RTV zveřejněn
03.05.2016,2016-05-03,1000 domů v databázi
12.04.2016,2016-04-12,získáváme cenu v soutěži Média na pomoc památkám
19.02.2016,2016-02-19,10000 fanoušků na hlavní facebookové stránce
17.02.2016,2016-02-17,"rekordní příspěvek, 150 tis. shlédnutí"
15.02.2016,2016-02-15,založena facebooková skupina Prázdnédomy.cz - Debatní studna
07.02.2016,2016-02-07,500 domů v databázi
30.01.2016,2016-01-30,všímá si nás Adam Gebrian
17.10.2015,2015-10-17,4000 fanoušků na hlavní facebookové stránce
19.08.2015,2015-08-19,spuštění nové podoby webu
20.07.2015,2015-07-20,v databázi je 268 objektů
11.04.2015,2015-04-11,mapa Prahy s vyznačenými prázdnými domy
25.03.2015,2015-03-25,první článek o Prázdných domech
24.03.2015,2015-03-24,spuštěn web www.prazdnedomy.cz
11.01.2015,2015-01-11,první úvahy o založení webu a hlavní facebookové skupiny na téma prázdných domů
28.12.2014,2014-12-28,registrace domény www.prazdnedomy.cz
